Region/Country/Area,Population density and surface area,Year,Series,Value
368,Iraq,2015,Sex ratio (males per 100 females),100.0
368,Iraq,2015,Population aged 0 to 14 years old (percentage),40.4
368,Iraq,2015,Population aged 60+ years old (percentage),4.9
368,Iraq,2015,Population density,86.5
368,Iraq,2022,Population mid-year estimates (millions),44.07
368,Iraq,2022,Population mid-year estimates for males (millions),22.10
368,Iraq,2022,Population mid-year estimates for females (millions),21.97
368,Iraq,2022,Sex ratio (males per 100 females),100.6
368,Iraq,2022,Population aged 0 to 14 years old (percentage),37.6
368,Iraq,2022,Population aged 60+ years old (percentage),5.1
368,Iraq,2022,Population density,101.5
368,Iraq,2022,Surface area (thousand km2),435
368,Iraq,2024,Population mid-year estimates (millions),46.04
368,Iraq,2024,Population mid-year estimates for males (millions),23.11
368,Iraq,2024,Population mid-year estimates for females (millions),22.93
368,Iraq,2024,Sex ratio (males per 100 females),100.8
368,Iraq,2024,Population aged 0 to 14 years old (percentage),36.6
368,Iraq,2024,Population aged 60+ years old (percentage),5.5
368,Iraq,2024,Population density,106.1
372,Ireland,2010,Population mid-year estimates (millions),4.56
372,Ireland,2010,Population mid-year estimates for males (millions),2.26
372,Ireland,2010,Population mid-year estimates for females (millions),2.29
372,Ireland,2010,Sex ratio (males per 100 females),98.7
372,Ireland,2010,Population aged 0 to 14 years old (percentage),21.1
372,Ireland,2010,Population aged 60+ years old (percentage),16.1
372,Ireland,2010,Population density,66.7
372,Ireland,2015,Population mid-year estimates (millions),4.70
372,Ireland,2015,Population mid-year estimates for males (millions),2.33
372,Ireland,2015,Population mid-year estimates for females (millions),2.38
372,Ireland,2015,Sex ratio (males per 100 females),97.9
372,Ireland,2015,Population aged 0 to 14 years old (percentage),21.3
372,Ireland,2015,Population aged 60+ years old (percentage),18.0
372,Ireland,2015,Population density,68.8
372,Ireland,2022,Population mid-year estimates (millions),5.11
372,Ireland,2022,Population mid-year estimates for males (millions),2.53
372,Ireland,2022,Population mid-year estimates for females (millions),2.58
372,Ireland,2022,Sex ratio (males per 100 females),98.1
372,Ireland,2022,Population aged 0 to 14 years old (percentage),19.5
372,Ireland,2022,Population aged 60+ years old (percentage),20.5
372,Ireland,2022,Population density,74.7
372,Ireland,2022,Surface area (thousand km2),70
372,Ireland,2024,Population mid-year estimates (millions),5.26
372,Ireland,2024,Population mid-year estimates for males (millions),2.60
372,Ireland,2024,Population mid-year estimates for females (millions),2.65
372,Ireland,2024,Sex ratio (males per 100 females),98.0
372,Ireland,2024,Population aged 0 to 14 years old (percentage),18.6
372,Ireland,2024,Population aged 60+ years old (percentage),21.4
372,Ireland,2024,Population density,76.9
833,Isle of Man,2010,Population mid-year estimates (millions),0.08
833,Isle of Man,2010,Population mid-year estimates for males (millions),0.04
833,Isle of Man,2010,Population mid-year estimates for females (millions),0.04
833,Isle of Man,2010,Sex ratio (males per 100 females),98.6
833,Isle of Man,2010,Population aged 0 to 14 years old (percentage),16.7
833,Isle of Man,2010,Population aged 60+ years old (percentage),24.4
833,Isle of Man,2010,Population density,146.6
833,Isle of Man,2015,Population mid-year estimates (millions),0.08
833,Isle of Man,2015,Population mid-year estimates for males (millions),0.04
833,Isle of Man,2015,Population mid-year estimates for females (millions),0.04
833,Isle of Man,2015,Sex ratio (males per 100 females),98.3
833,Isle of Man,2015,Population aged 0 to 14 years old (percentage),16.1
833,Isle of Man,2015,Population aged 60+ years old (percentage),26.5
833,Isle of Man,2015,Population density,146.1
833,Isle of Man,2022,Population mid-year estimates (millions),0.08
833,Isle of Man,2022,Population mid-year estimates for males (millions),0.04
833,Isle of Man,2022,Population mid-year estimates for females (millions),0.04
833,Isle of Man,2022,Sex ratio (males per 100 females),98.2
833,Isle of Man,2022,Population aged 0 to 14 years old (percentage),14.8
833,Isle of Man,2022,Population aged 60+ years old (percentage),29.3
833,Isle of Man,2022,Population density,147.1
833,Isle of Man,2022,Surface area (thousand km2),1
833,Isle of Man,2024,Population mid-year estimates (millions),0.08
833,Isle of Man,2024,Population mid-year estimates for males (millions),0.04
833,Isle of Man,2024,Population mid-year estimates for females (millions),0.04
833,Isle of Man,2024,Sex ratio (males per 100 females),98.1
833,Isle of Man,2024,Population aged 0 to 14 years old (percentage),14.2
833,Isle of Man,2024,Population aged 60+ years old (percentage),30.6
833,Isle of Man,2024,Population density,147.1
376,Israel,2010,Population mid-year estimates (millions),7.34
376,Israel,2010,Population mid-year estimates for males (millions),3.63
376,Israel,2010,Population mid-year estimates for females (millions),3.71
376,Israel,2010,Sex ratio (males per 100 females),97.9
376,Israel,2010,Population aged 0 to 14 years old (percentage),28.0
376,Israel,2010,Population aged 60+ years old (percentage),14.2
376,Israel,2010,Population density,339.0
376,Israel,2015,Population mid-year estimates (millions),8.05
376,Israel,2015,Population mid-year estimates for males (millions),3.99
376,Israel,2015,Population mid-year estimates for females (millions),4.06
376,Israel,2015,Sex ratio (males per 100 females),98.2
376,Israel,2015,Population aged 0 to 14 years old (percentage),28.2
376,Israel,2015,Population aged 60+ years old (percentage),15.4
376,Israel,2015,Population density,372.1
376,Israel,2022,Population mid-year estimates (millions),9.10
376,Israel,2022,Population mid-year estimates for males (millions),4.53
376,Israel,2022,Population mid-year estimates for females (millions),4.57
376,Israel,2022,Sex ratio (males per 100 females),99.0
376,Israel,2022,Population aged 0 to 14 years old (percentage),27.8
376,Israel,2022,Population aged 60+ years old (percentage),16.3
376,Israel,2022,Population density,420.6
376,Israel,2022,Surface area (thousand km2),22
376,Israel,2024,Population mid-year estimates (millions),9.39
376,Israel,2024,Population mid-year estimates for males (millions),4.67
376,Israel,2024,Population mid-year estimates for females (millions),4.71
376,Israel,2024,Sex ratio (males per 100 females),99.2
376,Israel,2024,Population aged 0 to 14 years old (percentage),27.4
376,Israel,2024,Population aged 60+ years old (percentage),16.5
376,Israel,2024,Population density,433.7
380,Italy,2010,Population mid-year estimates (millions),60.16
380,Italy,2010,Population mid-year estimates for males (millions),29.15
380,Italy,2010,Population mid-year estimates for females (millions),31.02
380,Italy,2010,Sex ratio (males per 100 females),94.0
380,Italy,2010,Population aged 0 to 14 years old (percentage),14.0
380,Italy,2010,Population aged 60+ years old (percentage),26.7
380,Italy,2010,Population density,203.3
380,Italy,2015,Population mid-year estimates (millions),60.58
380,Italy,2015,Population mid-year estimates for males (millions),29.40
380,Italy,2015,Population mid-year estimates for females (millions),31.17
380,Italy,2015,Sex ratio (males per 100 females),94.3
380,Italy,2015,Population aged 0 to 14 years old (percentage),13.7
380,Italy,2015,Population aged 60+ years old (percentage),28.1
380,Italy,2015,Population density,204.7
380,Italy,2022,Population mid-year estimates (millions),59.62
380,Italy,2022,Population mid-year estimates for males (millions),29.11
380,Italy,2022,Population mid-year estimates for females (millions),30.51
380,Italy,2022,Sex ratio (males per 100 females),95.4
380,Italy,2022,Population aged 0 to 14 years old (percentage),12.4
380,Italy,2022,Population aged 60+ years old (percentage),30.9
380,Italy,2022,Population density,201.4
380,Italy,2022,Surface area (thousand km2),302
380,Italy,2024,Population mid-year estimates (millions),59.34
380,Italy,2024,Population mid-year estimates for males (millions),29.00
380,Italy,2024,Population mid-year estimates for females (millions),30.34
380,Italy,2024,Sex ratio (males per 100 females),95.6
380,Italy,2024,Population aged 0 to 14 years old (percentage),11.9
380,Italy,2024,Population aged 60+ years old (percentage),32.1
380,Italy,2024,Population density,200.5
388,Jamaica,2010,Population mid-year estimates (millions),2.75
388,Jamaica,2010,Population mid-year estimates for males (millions),1.36
388,Jamaica,2010,Population mid-year estimates for females (millions),1.39
388,Jamaica,2010,Sex ratio (males per 100 females),98.4
388,Jamaica,2010,Population aged 0 to 14 years old (percentage),26.9
388,Jamaica,2010,Population aged 60+ years old (percentage),8.7
388,Jamaica,2010,Population density,253.8
388,Jamaica,2015,Population mid-year estimates (millions),2.80
388,Jamaica,2015,Population mid-year estimates for males (millions),1.39
388,Jamaica,2015,Population mid-year estimates for females (millions),1.41
388,Jamaica,2015,Sex ratio (males per 100 females),98.4
388,Jamaica,2015,Population aged 0 to 14 years old (percentage),23.4
388,Jamaica,2015,Population aged 60+ years old (percentage),9.5
388,Jamaica,2015,Population density,258.8
388,Jamaica,2022,Population mid-year estimates (millions),2.84
388,Jamaica,2022,Population mid-year estimates for males (millions),1.41
388,Jamaica,2022,Population mid-year estimates for females (millions),1.43
388,Jamaica,2022,Sex ratio (males per 100 females),98.0
388,Jamaica,2022,Population aged 0 to 14 years old (percentage),19.6
388,Jamaica,2022,Population aged 60+ years old (percentage),12.0
388,Jamaica,2022,Population density,262.2
388,Jamaica,2022,Surface area (thousand km2),11
388,Jamaica,2024,Population mid-year estimates (millions),2.84
388,Jamaica,2024,Population mid-year estimates for males (millions),1.40
388,Jamaica,2024,Population mid-year estimates for females (millions),1.44
388,Jamaica,2024,Sex ratio (males per 100 females),97.8
388,Jamaica,2024,Population aged 0 to 14 years old (percentage),18.7
388,Jamaica,2024,Population aged 60+ years old (percentage),13.0
388,Jamaica,2024,Population density,262.2
392,Japan,2010,Population mid-year estimates (millions),128.19
392,Japan,2010,Population mid-year estimates for males (millions),62.71
392,Japan,2010,Population mid-year estimates for females (millions),65.48
392,Japan,2010,Sex ratio (males per 100 females),95.8
392,Japan,2010,Population aged 0 to 14 years old (percentage),13.4
392,Japan,2010,Population aged 60+ years old (percentage),31.2
392,Japan,2010,Population density,340.2
392,Japan,2015,Population mid-year estimates (millions),127.28
392,Japan,2015,Population mid-year estimates for males (millions),62.20
392,Japan,2015,Population mid-year estimates for females (millions),65.07
392,Japan,2015,Sex ratio (males per 100 females),95.6
392,Japan,2015,Population aged 0 to 14 years old (percentage),12.8
392,Japan,2015,Population aged 60+ years old (percentage),33.6
392,Japan,2015,Population density,337.8
392,Japan,2022,Population mid-year estimates (millions),125.00
392,Japan,2022,Population mid-year estimates for males (millions),61.03
392,Japan,2022,Population mid-year estimates for females (millions),63.97
392,Japan,2022,Sex ratio (males per 100 females),95.4
392,Japan,2022,Population aged 0 to 14 years old (percentage),11.9
392,Japan,2022,Population aged 60+ years old (percentage),35.4
392,Japan,2022,Population density,331.7
392,Japan,2022,Surface area (thousand km2),378
392,Japan,2024,Population mid-year estimates (millions),123.75
392,Japan,2024,Population mid-year estimates for males (millions),60.37
392,Japan,2024,Population mid-year estimates for females (millions),63.38
392,Japan,2024,Sex ratio (males per 100 females),95.3
392,Japan,2024,Population aged 0 to 14 years old (percentage),11.4
392,Japan,2024,Population aged 60+ years old (percentage),35.9
392,Japan,2024,Population density,328.4
832,Jersey,2010,Population mid-year estimates (millions),0.10
832,Jersey,2010,Population mid-year estimates for males (millions),0.05
832,Jersey,2010,Population mid-year estimates for females (millions),0.05
832,Jersey,2010,Sex ratio (males per 100 females),97.4
832,Jersey,2010,Population aged 0 to 14 years old (percentage),15.6
832,Jersey,2010,Population aged 60+ years old (percentage),20.4
832,Jersey,2010,Population density,837.1
832,Jersey,2015,Population mid-year estimates (millions),0.10
832,Jersey,2015,Population mid-year estimates for males (millions),0.05
832,Jersey,2015,Population mid-year estimates for females (millions),0.05
832,Jersey,2015,Sex ratio (males per 100 females),97.7
832,Jersey,2015,Population aged 0 to 14 years old (percentage),15.7
832,Jersey,2015,Population aged 60+ years old (percentage),22.0
832,Jersey,2015,Population density,872.6
832,Jersey,2024,Population mid-year estimates (millions),0.10
832,Jersey,2024,Population mid-year estimates for males (millions),0.05
832,Jersey,2024,Population mid-year estimates for females (millions),0.05
832,Jersey,2024,Sex ratio (males per 100 females),97.4
832,Jersey,2024,Population aged 0 to 14 years old (percentage),14.3
832,Jersey,2024,Population aged 60+ years old (percentage),26.2
832,Jersey,2024,Population density,895.2
400,Jordan,2010,Population mid-year estimates (millions),7.30
400,Jordan,2010,Population mid-year estimates for males (millions),3.78
400,Jordan,2010,Population mid-year estimates for females (millions),3.52
400,Jordan,2010,Sex ratio (males per 100 females),107.2
400,Jordan,2010,Population aged 0 to 14 years old (percentage),36.0
400,Jordan,2010,Population aged 60+ years old (percentage),5.3
400,Jordan,2010,Population density,82.2
400,Jordan,2015,Population mid-year estimates (millions),9.54
400,Jordan,2015,Population mid-year estimates for males (millions),4.95
400,Jordan,2015,Population mid-year estimates for females (millions),4.59
400,Jordan,2015,Sex ratio (males per 100 females),107.8
400,Jordan,2015,Population aged 0 to 14 years old (percentage),34.8
400,Jordan,2015,Population aged 60+ years old (percentage),5.2
400,Jordan,2015,Population density,107.5
400,Jordan,2022,Population mid-year estimates (millions),11.26
400,Jordan,2022,Population mid-year estimates for males (millions),5.81
400,Jordan,2022,Population mid-year estimates for females (millions),5.44
400,Jordan,2022,Sex ratio (males per 100 females),106.8
400,Jordan,2022,Population aged 0 to 14 years old (percentage),31.9
400,Jordan,2022,Population aged 60+ years old (percentage),6.7
400,Jordan,2022,Population density,126.8
400,Jordan,2022,Surface area (thousand km2),89
400,Jordan,2024,Population mid-year estimates (millions),11.55
400,Jordan,2024,Population mid-year estimates for males (millions),5.96
400,Jordan,2024,Population mid-year estimates for females (millions),5.60
400,Jordan,2024,Sex ratio (males per 100 females),106.5
400,Jordan,2024,Population aged 0 to 14 years old (percentage),30.7
400,Jordan,2024,Population aged 60+ years old (percentage),7.3
400,Jordan,2024,Population density,130.1
398,Kazakhstan,2010,Population mid-year estimates (millions),16.84
398,Kazakhstan,2010,Population mid-year estimates for males (millions),8.05
398,Kazakhstan,2010,Population mid-year estimates for females (millions),8.79
398,Kazakhstan,2010,Sex ratio (males per 100 females),91.6
398,Kazakhstan,2010,Population aged 0 to 14 years old (percentage),25.4
398,Kazakhstan,2010,Population aged 60+ years old (percentage),9.6
398,Kazakhstan,2010,Population density,6.2
398,Kazakhstan,2015,Population mid-year estimates (millions),18.08
398,Kazakhstan,2015,Population mid-year estimates for males (millions),8.67
398,Kazakhstan,2015,Population mid-year estimates for females (millions),9.42
398,Kazakhstan,2015,Sex ratio (males per 100 females),92.0
398,Kazakhstan,2015,Population aged 0 to 14 years old (percentage),27.7
398,Kazakhstan,2015,Population aged 60+ years old (percentage),10.6
398,Kazakhstan,2015,Population density,6.7
398,Kazakhstan,2022,Population mid-year estimates (millions),20.03
398,Kazakhstan,2022,Population mid-year estimates for males (millions),9.75
398,Kazakhstan,2022,Population mid-year estimates for females (millions),10.29
398,Kazakhstan,2022,Sex ratio (males per 100 females),94.8
398,Kazakhstan,2022,Population aged 0 to 14 years old (percentage),29.6
398,Kazakhstan,2022,Population aged 60+ years old (percentage),12.6
398,Kazakhstan,2022,Population density,7.4
398,Kazakhstan,2022,Surface area (thousand km2),"2,725"
398,Kazakhstan,2024,Population mid-year estimates (millions),20.59
398,Kazakhstan,2024,Population mid-year estimates for males (millions),10.03
398,Kazakhstan,2024,Population mid-year estimates for females (millions),10.56
398,Kazakhstan,2024,Sex ratio (males per 100 females),95.0
398,Kazakhstan,2024,Population aged 0 to 14 years old (percentage),29.4
398,Kazakhstan,2024,Population aged 60+ years old (percentage),13.2
398,Kazakhstan,2024,Population density,7.6
404,Kenya,2010,Population mid-year estimates (millions),41.60
404,Kenya,2010,Population mid-year estimates for males (millions),20.73
404,Kenya,2010,Population mid-year estimates for females (millions),20.87
404,Kenya,2010,Sex ratio (males per 100 females),99.3
404,Kenya,2010,Population aged 0 to 14 years old (percentage),43.6
404,Kenya,2010,Population aged 60+ years old (percentage),3.3
404,Kenya,2010,Population density,71.6
404,Kenya,2015,Population mid-year estimates (millions),47.09
404,Kenya,2015,Population mid-year estimates for males (millions),23.46
404,Kenya,2015,Population mid-year estimates for females (millions),23.63
404,Kenya,2015,Sex ratio (males per 100 females),99.3
404,Kenya,2015,Population aged 0 to 14 years old (percentage),42.0
404,Kenya,2015,Population aged 60+ years old (percentage),3.7
404,Kenya,2015,Population density,81.1
404,Kenya,2022,Population mid-year estimates (millions),54.25
404,Kenya,2022,Population mid-year estimates for males (millions),26.98
404,Kenya,2022,Population mid-year estimates for females (millions),27.27
404,Kenya,2022,Sex ratio (males per 100 females),98.9
404,Kenya,2022,Population aged 0 to 14 years old (percentage),38.1
404,Kenya,2022,Population aged 60+ years old (percentage),4.6
404,Kenya,2022,Population density,93.4
404,Kenya,2022,Surface area (thousand km2),592
404,Kenya,2024,Population mid-year estimates (millions),56.43
404,Kenya,2024,Population mid-year estimates for males (millions),28.06
404,Kenya,2024,Population mid-year estimates for females (millions),28.38
404,Kenya,2024,Sex ratio (males per 100 females),98.9
404,Kenya,2024,Population aged 0 to 14 years old (percentage),36.8
404,Kenya,2024,Population aged 60+ years old (percentage),4.8
404,Kenya,2024,Population density,97.2
296,Kiribati,2010,Population mid-year estimates (millions),0.11
296,Kiribati,2010,Population mid-year estimates for males (millions),0.05
296,Kiribati,2010,Population mid-year estimates for females (millions),0.06
296,Kiribati,2010,Sex ratio (males per 100 females),95.0
296,Kiribati,2010,Population aged 0 to 14 years old (percentage),36.6
296,Kiribati,2010,Population aged 60+ years old (percentage),5.5
296,Kiribati,2010,Population density,149.7
296,Kiribati,2015,Population mid-year estimates (millions),0.12
296,Kiribati,2015,Population mid-year estimates for males (millions),0.06
296,Kiribati,2015,Population mid-year estimates for females (millions),0.06
296,Kiribati,2015,Sex ratio (males per 100 females),93.3
296,Kiribati,2015,Population aged 0 to 14 years old (percentage),35.2
296,Kiribati,2015,Population aged 60+ years old (percentage),5.8
296,Kiribati,2015,Population density,160.9
296,Kiribati,2022,Population mid-year estimates (millions),0.13
296,Kiribati,2022,Population mid-year estimates for males (millions),0.06
296,Kiribati,2022,Population mid-year estimates for females (millions),0.07
296,Kiribati,2022,Sex ratio (males per 100 females),93.8
296,Kiribati,2022,Population aged 0 to 14 years old (percentage),35.1
296,Kiribati,2022,Population aged 60+ years old (percentage),6.7
296,Kiribati,2022,Population density,179.7
296,Kiribati,2022,Surface area (thousand km2),1
296,Kiribati,2024,Population mid-year estimates (millions),0.13
296,Kiribati,2024,Population mid-year estimates for males (millions),0.07
296,Kiribati,2024,Population mid-year estimates for females (millions),0.07
296,Kiribati,2024,Sex ratio (males per 100 females),94.3
296,Kiribati,2024,Population aged 0 to 14 years old (percentage),34.7
296,Kiribati,2024,Population aged 60+ years old (percentage),7.2
296,Kiribati,2024,Population density,185.3
412,Kosovo,2010,Population mid-year estimates (millions),1.79
412,Kosovo,2010,Population mid-year estimates for males (millions),0.88
412,Kosovo,2010,Population mid-year estimates for females (millions),0.91
412,Kosovo,2010,Sex ratio (males per 100 females),96.7
412,Kosovo,2010,Population aged 0 to 14 years old (percentage),28.0
412,Kosovo,2010,Population aged 60+ years old (percentage),9.7
412,Kosovo,2010,Population density,164.0
412,Kosovo,2015,Population mid-year estimates (millions),1.78
412,Kosovo,2015,Population mid-year estimates for males (millions),0.87
412,Kosovo,2015,Population mid-year estimates for females (millions),0.90
412,Kosovo,2015,Sex ratio (males per 100 females),96.7
412,Kosovo,2015,Population aged 0 to 14 years old (percentage),25.9
412,Kosovo,2015,Population aged 60+ years old (percentage),11.0
412,Kosovo,2015,Population density,163.1
412,Kosovo,2024,Population mid-year estimates (millions),1.68
412,Kosovo,2024,Population mid-year estimates for males (millions),0.83
412,Kosovo,2024,Population mid-year estimates for females (millions),0.86
412,Kosovo,2024,Sex ratio (males per 100 females),96.8
412,Kosovo,2024,Population aged 0 to 14 years old (percentage),20.7
412,Kosovo,2024,Population aged 60+ years old (percentage),14.8
412,Kosovo,2024,Population density,154.5
414,Kuwait,2010,Population mid-year estimates (millions),2.94
414,Kuwait,2010,Population mid-year estimates for males (millions),1.68
414,Kuwait,2010,Population mid-year estimates for females (millions),1.27
414,Kuwait,2010,Sex ratio (males per 100 females),132.2
414,Kuwait,2010,Population aged 0 to 14 years old (percentage),23.0
414,Kuwait,2010,Population aged 60+ years old (percentage),3.2
414,Kuwait,2010,Population density,165.2
414,Kuwait,2015,Population mid-year estimates (millions),3.83
414,Kuwait,2015,Population mid-year estimates for males (millions),2.25
414,Kuwait,2015,Population mid-year estimates for females (millions),1.58
414,Kuwait,2015,Sex ratio (males per 100 females),142.4
414,Kuwait,2015,Population aged 0 to 14 years old (percentage),21.8
414,Kuwait,2015,Population aged 60+ years old (percentage),4.6
414,Kuwait,2015,Population density,215.2
414,Kuwait,2022,Population mid-year estimates (millions),4.59
414,Kuwait,2022,Population mid-year estimates for males (millions),2.80
414,Kuwait,2022,Population mid-year estimates for females (millions),1.79
414,Kuwait,2022,Sex ratio (males per 100 females),156.8
414,Kuwait,2022,Population aged 0 to 14 years old (percentage),19.2
414,Kuwait,2022,Population aged 60+ years old (percentage),5.1
414,Kuwait,2022,Population density,257.6
414,Kuwait,2022,Surface area (thousand km2),18
414,Kuwait,2024,Population mid-year estimates (millions),4.93
414,Kuwait,2024,Population mid-year estimates for males (millions),3.02
414,Kuwait,2024,Population mid-year estimates for females (millions),1.92
414,Kuwait,2024,Sex ratio (males per 100 females),157.2
414,Kuwait,2024,Population aged 0 to 14 years old (percentage),18.2
414,Kuwait,2024,Population aged 60+ years old (percentage),5.9
414,Kuwait,2024,Population density,276.9
417,Kyrgyzstan,2010,Population mid-year estimates (millions),5.49
417,Kyrgyzstan,2010,Population mid-year estimates for males (millions),2.71
417,Kyrgyzstan,2010,Population mid-year estimates for females (millions),2.78
417,Kyrgyzstan,2010,Sex ratio (males per 100 females),97.4
417,Kyrgyzstan,2010,Population aged 0 to 14 years old (percentage),30.3
417,Kyrgyzstan,2010,Population aged 60+ years old (percentage),6.5
417,Kyrgyzstan,2010,Population density,28.6
417,Kyrgyzstan,2015,Population mid-year estimates (millions),6.00
417,Kyrgyzstan,2015,Population mid-year estimates for males (millions),2.98
417,Kyrgyzstan,2015,Population mid-year estimates for females (millions),3.02
417,Kyrgyzstan,2015,Sex ratio (males per 100 females),98.8
417,Kyrgyzstan,2015,Population aged 0 to 14 years old (percentage),31.8
417,Kyrgyzstan,2015,Population aged 60+ years old (percentage),8.1
417,Kyrgyzstan,2015,Population density,31.3
417,Kyrgyzstan,2022,Population mid-year estimates (millions),6.96
417,Kyrgyzstan,2022,Population mid-year estimates for males (millions),3.44
417,Kyrgyzstan,2022,Population mid-year estimates for females (millions),3.52
417,Kyrgyzstan,2022,Sex ratio (males per 100 females),97.8
417,Kyrgyzstan,2022,Population aged 0 to 14 years old (percentage),32.9
417,Kyrgyzstan,2022,Population aged 60+ years old (percentage),8.9
417,Kyrgyzstan,2022,Population density,36.3
417,Kyrgyzstan,2022,Surface area (thousand km2),200
417,Kyrgyzstan,2024,Population mid-year estimates (millions),7.19
417,Kyrgyzstan,2024,Population mid-year estimates for males (millions),3.55
417,Kyrgyzstan,2024,Population mid-year estimates for females (millions),3.63
417,Kyrgyzstan,2024,Sex ratio (males per 100 females),97.8
417,Kyrgyzstan,2024,Population aged 0 to 14 years old (percentage),32.3
417,Kyrgyzstan,2024,Population aged 60+ years old (percentage),9.5
417,Kyrgyzstan,2024,Population density,37.5
418,Lao People's Dem. Rep.,2010,Population mid-year estimates (millions),6.33
418,Lao People's Dem. Rep.,2010,Population mid-year estimates for males (millions),3.19
418,Lao People's Dem. Rep.,2010,Population mid-year estimates for females (millions),3.15
418,Lao People's Dem. Rep.,2010,Sex ratio (males per 100 females),101.3
418,Lao People's Dem. Rep.,2010,Population aged 0 to 14 years old (percentage),36.3
418,Lao People's Dem. Rep.,2010,Population aged 60+ years old (percentage),5.7
418,Lao People's Dem. Rep.,2010,Population density,27.4
418,Lao People's Dem. Rep.,2015,Population mid-year estimates (millions),6.80
418,Lao People's Dem. Rep.,2015,Population mid-year estimates for males (millions),3.42
418,Lao People's Dem. Rep.,2015,Population mid-year estimates for females (millions),3.38
418,Lao People's Dem. Rep.,2015,Sex ratio (males per 100 females),101.2
418,Lao People's Dem. Rep.,2015,Population aged 0 to 14 years old (percentage),33.2
418,Lao People's Dem. Rep.,2015,Population aged 60+ years old (percentage),6.3
418,Lao People's Dem. Rep.,2015,Population density,29.5
418,Lao People's Dem. Rep.,2022,Population mid-year estimates (millions),7.56
418,Lao People's Dem. Rep.,2022,Population mid-year estimates for males (millions),3.80
418,Lao People's Dem. Rep.,2022,Population mid-year estimates for females (millions),3.76
418,Lao People's Dem. Rep.,2022,Sex ratio (males per 100 females),101.0
418,Lao People's Dem. Rep.,2022,Population aged 0 to 14 years old (percentage),30.9
418,Lao People's Dem. Rep.,2022,Population aged 60+ years old (percentage),7.1
418,Lao People's Dem. Rep.,2022,Population density,32.8
418,Lao People's Dem. Rep.,2022,Surface area (thousand km2),237
418,Lao People's Dem. Rep.,2024,Population mid-year estimates (millions),7.77
418,Lao People's Dem. Rep.,2024,Population mid-year estimates for males (millions),3.90
418,Lao People's Dem. Rep.,2024,Population mid-year estimates for females (millions),3.87
418,Lao People's Dem. Rep.,2024,Sex ratio (males per 100 females),101.0
418,Lao People's Dem. Rep.,2024,Population aged 0 to 14 years old (percentage),30.2
418,Lao People's Dem. Rep.,2024,Population aged 60+ years old (percentage),7.5
418,Lao People's Dem. Rep.,2024,Population density,33.7
428,Latvia,2010,Population mid-year estimates (millions),2.10
428,Latvia,2010,Population mid-year estimates for males (millions),0.96
428,Latvia,2010,Population mid-year estimates for females (millions),1.14
428,Latvia,2010,Sex ratio (males per 100 females),84.3
428,Latvia,2010,Population aged 0 to 14 years old (percentage),14.2
428,Latvia,2010,Population aged 60+ years old (percentage),23.8
428,Latvia,2010,Population density,33.7
428,Latvia,2015,Population mid-year estimates (millions),1.98
428,Latvia,2015,Population mid-year estimates for males (millions),0.91
428,Latvia,2015,Population mid-year estimates for females (millions),1.07
428,Latvia,2015,Sex ratio (males per 100 females),84.8
428,Latvia,2015,Population aged 0 to 14 years old (percentage),15.1
428,Latvia,2015,Population aged 60+ years old (percentage),25.7
428,Latvia,2015,Population density,31.8
428,Latvia,2022,Population mid-year estimates (millions),1.88
428,Latvia,2022,Population mid-year estimates for males (millions),0.87
428,Latvia,2022,Population mid-year estimates for females (millions),1.01
428,Latvia,2022,Sex ratio (males per 100 females),86.2
428,Latvia,2022,Population aged 0 to 14 years old (percentage),15.9
428,Latvia,2022,Population aged 60+ years old (percentage),28.2
428,Latvia,2022,Population density,30.2
428,Latvia,2022,Surface area (thousand km2),65
428,Latvia,2024,Population mid-year estimates (millions),1.87
428,Latvia,2024,Population mid-year estimates for males (millions),0.87
428,Latvia,2024,Population mid-year estimates for females (millions),1.00
428,Latvia,2024,Sex ratio (males per 100 females),86.4
428,Latvia,2024,Population aged 0 to 14 years old (percentage),15.4
428,Latvia,2024,Population aged 60+ years old (percentage),28.8
428,Latvia,2024,Population density,30.1
422,Lebanon,2010,Population mid-year estimates (millions),5.04
422,Lebanon,2010,Population mid-year estimates for males (millions),2.51
422,Lebanon,2010,Population mid-year estimates for females (millions),2.53
422,Lebanon,2010,Sex ratio (males per 100 females),99.0
422,Lebanon,2010,Population aged 0 to 14 years old (percentage),26.4
422,Lebanon,2010,Population aged 60+ years old (percentage),8.8
422,Lebanon,2010,Population density,492.8
422,Lebanon,2015,Population mid-year estimates (millions),6.47
422,Lebanon,2015,Population mid-year estimates for males (millions),3.22
422,Lebanon,2015,Population mid-year estimates for females (millions),3.25
422,Lebanon,2015,Sex ratio (males per 100 females),98.9
422,Lebanon,2015,Population aged 0 to 14 years old (percentage),25.8
422,Lebanon,2015,Population aged 60+ years old (percentage),10.6
422,Lebanon,2015,Population density,632.7
422,Lebanon,2022,Population mid-year estimates (millions),5.74
422,Lebanon,2022,Population mid-year estimates for males (millions),2.79
422,Lebanon,2022,Population mid-year estimates for females (millions),2.95
422,Lebanon,2022,Sex ratio (males per 100 females),94.5
422,Lebanon,2022,Population aged 0 to 14 years old (percentage),27.2
422,Lebanon,2022,Population aged 60+ years old (percentage),13.9
422,Lebanon,2022,Population density,561.5
422,Lebanon,2022,Surface area (thousand km2),10
422,Lebanon,2024,Population mid-year estimates (millions),5.81
